1
popSize bias beta 
4 0.2 0.2
220 2.73381 -2.73381  0.0650735 0.905294
230 2.73381 -2.73381  0.0650735 0.905294
240 2.73381 -2.73381  0.0650735 0.905294
250 2.73381 -2.73381  0.0650735 0.905294
260 2.73381 -2.73381  0.0650735 0.905294
270 2.73381 -2.73381  0.0650735 0.905294
280 2.73381 -2.73381  0.0650735 0.905294
290 2.73381 -2.73381  0.0650735 0.905294
300 2.73381 -2.73381  0.0650735 0.905294
310 2.73381 -2.73381  0.0650735 0.905294
320 2.73381 -2.73381  0.0650735 0.905294
330 2.73381 -2.73381  0.0650735 0.905294
340 2.73381 -2.73381  0.0650735 0.905294
350 2.73381 -2.73381  0.0650735 0.905294
360 2.73381 -2.73381  0.0650735 0.905294
370 2.73381 -2.73381  0.0650735 0.905294
380 2.6204 -2.6204  -0.909276 -0.00411662
390 2.6204 -2.6204  -0.909276 -0.00411662
400 2.6204 -2.6204  -0.909276 -0.00411662
410 2.6204 -2.6204  -0.909276 -0.00411662
420 2.6204 -2.6204  -0.909276 -0.00411662
430 2.6204 -2.6204  -0.909276 -0.00411662
440 2.6204 -2.6204  -0.909276 -0.00411662
450 2.6204 -2.6204  -0.909276 -0.00411662
460 2.6204 -2.6204  -0.909276 -0.00411662
470 2.6204 -2.6204  -0.909276 -0.00411662
480 2.6204 -2.6204  -0.909276 -0.00411662
490 2.6204 -2.6204  -0.909276 -0.00411662
500 2.6204 -2.6204  -0.909276 -0.00411662
10 4.29961 -4.29961  -0.749919 -0.993919
20 4.29961 -4.29961  -0.749919 -0.993919
30 3.74384 -3.74384  0.0127947 -1.17854
40 2.585 -2.585  0.0127947 -0.956995
50 0.443855 -0.443855  0.0663448 0.05759
