1
popSize bias beta 
4 0.2 0.2
240 -16.9648 -2.2437  -8.43546 9.94011
250 -16.9648 -2.2437  -8.43546 9.94011
260 -16.9648 -2.2437  -8.43546 9.94011
270 -16.9648 -2.2437  -8.43546 9.94011
280 -16.9648 -2.2437  -8.43546 9.94011
290 -16.9648 -2.2437  -8.43546 9.94011
300 -16.9648 -2.2437  -8.43546 9.94011
310 -16.9648 -2.2437  -8.43546 9.94011
320 -18.8253 -0.38322  -7.85481 9.66854
330 -18.8253 -0.38322  -7.85481 9.66854
340 -18.8253 -0.38322  -7.85481 9.66854
350 -18.8253 -0.38322  -7.85481 9.66854
360 -18.8253 -0.38322  -7.85481 9.66854
370 -18.8253 -0.38322  -7.85481 9.66854
380 -18.8253 -0.38322  -7.85481 9.66854
390 -18.8253 -0.38322  -7.85481 9.66854
400 -19.1342 -0.0742849  -8.14119 9.66854
410 -19.1342 -0.0742849  -8.14119 9.66854
420 -19.1342 -0.0742849  -8.14119 9.66854
430 -19.1342 -0.0742849  -8.14119 9.66854
440 -19.1342 -0.0742849  -8.14119 9.66854
450 -19.1342 -0.0742849  -8.14119 9.66854
460 -19.1342 -0.0742849  -8.14119 9.66854
470 -19.1342 -0.0742849  -8.14119 9.66854
480 -19.1342 -0.0742849  -8.14119 9.66854
490 -19.1342 -0.0742849  -8.14119 9.66854
500 -19.1342 -0.0742849  -8.14119 9.66854
10 -3.17159 -16.0369  -5.10736 -7.26868
