popSize  pXover  pMut  mEpsilon 
10 0.5 0.05 0.05
250 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
260 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
270 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
280 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
290 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
300 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
310 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
320 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
330 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
340 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
350 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
360 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
370 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
380 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
390 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
400 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
410 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
420 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
430 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
440 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
450 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
460 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
470 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
